GEOID10,FID,BDNAME,BDNUM,TEXT_NBR,GEO_ID,NAME_x,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P005001,P005002,P005003,P005004,P005005,P005006,P005007,P005008,P005009,P005010,P005011,P005012,P005013,P005014,P005015,P005016,P005017
270531040002001,18,Como,37,37,1000000US270531040002001,"Block 2001, Block Group 2, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040001019,18,Como,37,37,1000000US270531040001019,"Block 1019, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",6,0,0,6,0,0,0,0,6,5,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0
270531040001035,18,Como,37,37,1000000US270531040001035,"Block 1035, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040002013,18,Como,37,37,1000000US270531040002013,"Block 2013, Block Group 2, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040002014,18,Como,37,37,1000000US270531040002014,"Block 2014, Block Group 2, Census Tract 1040, Hennepin County, Minnesota",88,62,10,0,7,0,1,8,88,87,62,10,0,7,0,0,8,1,0,0,0,0,0,1,0
270531040002020,18,Como,37,37,1000000US270531040002020,"Block 2020, Block Group 2, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040001024,18,Como,37,37,1000000US270531040001024,"Block 1024, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",91,79,6,0,3,0,1,2,91,89,78,6,0,3,0,0,2,2,1,0,0,0,0,1,0
270531040005028,18,Como,37,37,1000000US270531040005028,"Block 5028, Block Group 5, Census Tract 1040, Hennepin County, Minnesota",79,72,1,2,2,0,0,2,79,79,72,1,2,2,0,0,2,0,0,0,0,0,0,0,0
270531040005039,18,Como,37,37,1000000US270531040005039,"Block 5039, Block Group 5, Census Tract 1040, Hennepin County, Minnesota",53,50,3,0,0,0,0,0,53,52,49,3,0,0,0,0,0,1,1,0,0,0,0,0,0
270531040004001,18,Como,37,37,1000000US270531040004001,"Block 4001, Block Group 4, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040003015,18,Como,37,37,1000000US270531040003015,"Block 3015, Block Group 3, Census Tract 1040, Hennepin County, Minnesota",121,85,4,0,26,0,0,6,121,120,85,3,0,26,0,0,6,1,0,1,0,0,0,0,0
270531040003011,18,Como,37,37,1000000US270531040003011,"Block 3011, Block Group 3, Census Tract 1040, Hennepin County, Minnesota",106,90,2,0,7,0,0,7,106,105,89,2,0,7,0,0,7,1,1,0,0,0,0,0,0
