STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,LONGITUDE,LATITUDE
36,085,014700,3011,360850147003011,Block 3011,G5040,,,S,      16175,          0,+40.6138850,-074.1220507,                  -74.1220507000,                   40.6138850000
36,085,014700,2004,360850147002004,Block 2004,G5040,,,S,      23560,          0,+40.6169259,-074.1160161,                  -74.1160161000,                   40.6169259000
36,085,014700,2009,360850147002009,Block 2009,G5040,,,S,      22437,          0,+40.6142942,-074.1160644,                  -74.1160644000,                   40.6142942000
36,085,005900,1008,360850059001008,Block 1008,G5040,,,S,      16572,          0,+40.6241678,-074.1014233,                  -74.1014233000,                   40.6241678000
36,085,016901,1027,360850169011027,Block 1027,G5040,,,S,       9909,          0,+40.6117457,-074.1077567,                  -74.1077567000,                   40.6117457000
36,085,016901,1000,360850169011000,Block 1000,G5040,,,S,      18917,          0,+40.6137726,-074.1078102,                  -74.1078102000,                   40.6137726000
36,085,012100,1011,360850121001011,Block 1011,G5040,,,S,       7577,          0,+40.6218466,-074.1080905,                  -74.1080905000,                   40.6218466000
36,085,016901,1025,360850169011025,Block 1025,G5040,,,S,       9782,          0,+40.6124138,-074.1068011,                  -74.1068011000,                   40.6124138000
36,085,004700,1015,360850047001015,Block 1015,G5040,,,S,      27499,          0,+40.6134039,-074.0881326,                  -74.0881326000,                   40.6134039000
36,085,000600,2005,360850006002005,Block 2005,G5040,,,S,      17960,          0,+40.6133359,-074.0644416,                  -74.0644416000,                   40.6133359000
36,085,006700,2011,360850067002011,Block 2011,G5040,,,S,       9479,          0,+40.6277636,-074.1037131,                  -74.1037131000,                   40.6277636000
36,085,006700,1002,360850067001002,Block 1002,G5040,,,S,       9318,          0,+40.6391789,-074.1016197,                  -74.1016197000,                   40.6391789000
36,085,006700,1003,360850067001003,Block 1003,G5040,,,S,      21797,          0,+40.6355428,-074.1012037,                  -74.1012037000,                   40.6355428000
36,085,002001,1002,360850020011002,Block 1002,G5040,,,S,      56815,          0,+40.6088026,-074.0731035,                  -74.0731035000,                   40.6088026000
36,085,004000,1000,360850040001000,Block 1000,G5040,,,S,      13124,          0,+40.6110636,-074.0880174,                  -74.0880174000,                   40.6110636000
36,085,004000,1021,360850040001021,Block 1021,G5040,,,S,       4672,          0,+40.6094374,-074.0894644,                  -74.0894644000,                   40.6094374000
36,085,004000,1016,360850040001016,Block 1016,G5040,,,S,       9447,          0,+40.6083955,-074.0859130,                  -74.0859130000,                   40.6083955000
36,085,003600,2008,360850036002008,Block 2008,G5040,,,S,      11961,          0,+40.6089315,-074.0771263,                  -74.0771263000,                   40.6089315000
36,085,000800,1024,360850008001024,Block 1024,G5040,,,S,       4503,          0,+40.6154599,-074.0700558,                  -74.0700558000,                   40.6154599000
36,085,000800,1020,360850008001020,Block 1020,G5040,,,S,      16824,          0,+40.6125952,-074.0703682,                  -74.0703682000,                   40.6125952000
36,085,000600,2009,360850006002009,Block 2009,G5040,,,S,      55465,          0,+40.6076878,-074.0590842,                  -74.0590842000,                   40.6076878000
36,085,004700,1006,360850047001006,Block 1006,G5040,,,S,     191752,          0,+40.6119783,-074.0950548,                  -74.0950548000,                   40.6119783000
36,085,002001,2000,360850020012000,Block 2000,G5040,,,S,      24436,          0,+40.6074092,-074.0683254,                  -74.0683254000,                   40.6074092000
36,085,001800,1012,360850018001012,Block 1012,G5040,,,S,      23634,          0,+40.6036157,-074.0606257,                  -74.0606257000,                   40.6036157000
