GEOID10,name
60014022003012,CCD3
60014022002011,CCD3
60014022003014,CCD3
60014022003007,CCD3
60014022003016,CCD3
60014105001042,CCD3
60014105001057,CCD3
60014016001005,CCD3
60014037021008,CCD3
60014034001028,CCD3
60014037022003,CCD3
60014036003000,CCD3
60014037022001,CCD3
60014013001027,CCD3
60014013002004,CCD3
60014014002001,CCD3
60014105001024,CCD3
60014105001030,CCD3
60014025001001,CCD3
60014016001022,CCD3
60014016001024,CCD3
60014024001010,CCD3
60014017003030,CCD3
60019832001047,CCD3
60019832001044,CCD3
60019832001054,CCD3
60014033001025,CCD3
60014033001019,CCD3
60019832001030,CCD3
60014033001030,CCD3
60014035013005,CCD3
60014017003021,CCD3
60014017003019,CCD3
60014031001026,CCD3
60014031001030,CCD3
60019832001010,CCD3
60014031001017,CCD3
60014028001004,CCD3
60014017003038,CCD3
60014017003026,CCD3
60014017001013,CCD3
60014017003072,CCD3
60014029001033,CCD3
60014016002018,CCD3
60014017001035,CCD3
60014011003011,CCD3
60014017003029,CCD3
60014017001016,CCD3
60014022003005,CCD3
60014018002010,CCD3
60014018002001,CCD3
60014018002006,CCD3
60014022003015,CCD3
60014105001068,CCD3
60014013002020,CCD3
60014014002007,CCD3
60014013002021,CCD3
60014028002022,CCD3
60014017003009,CCD3
60014027002014,CCD3
60019832001022,CCD3
60014016002000,CCD3
60014016001029,CCD3
60014017002000,CCD3
60014018001006,CCD3
60014013001000,CCD3
60014035012024,CCD3
60014035011000,CCD3
60014035021001,CCD3
60014037012000,CCD3
60014036003002,CCD3
60014037022000,CCD3
60019832001041,CCD3
60019820001024,CCD3
60014035013000,CCD3
60014018001005,CCD3
60014016002012,CCD3
60014016001011,CCD3
60014017001042,CCD3
60014017001027,CCD3
60014017001021,CCD3
60014015001005,CCD3
60014015001009,CCD3
60014015001016,CCD3
60014015001014,CCD3
60014026001020,CCD3
60014026001005,CCD3
60014026001007,CCD3
60019820001029,CCD3
60019820001016,CCD3
60014022002004,CCD3
60014022002003,CCD3
60014022003008,CCD3
60014022002000,CCD3
60014013002002,CCD3
60014011003008,CCD3
60014022001004,CCD3
60014017002029,CCD3
60014022003011,CCD3
60014018001017,CCD3
60014022002010,CCD3
60014105001069,CCD3
60014022002001,CCD3
60014105001058,CCD3
60014022003019,CCD3
60014017001030,CCD3
60014037011002,CCD3
60014017002018,CCD3
60014017002009,CCD3
60014033001018,CCD3
60014033001035,CCD3
60014033001044,CCD3
60014033001038,CCD3
60014022001008,CCD3
60014105001004,CCD3
60014017002004,CCD3
60014028002043,CCD3
60014017001005,CCD3
60014024001022,CCD3
60014016002013,CCD3
60014028002036,CCD3
60014035013002,CCD3
60014014002009,CCD3
