STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,LONGITUDE,LATITUDE
36,085,017005,1040,360850170051040,Block 1040,G5040,,,S,      15443,          0,+40.5390828,-074.1781375,                  -74.1781375000,                   40.5390828000
36,085,017600,1022,360850176001022,Block 1022,G5040,,,S,      18367,          0,+40.5262031,-074.1827965,                  -74.1827965000,                   40.5262031000
36,085,017600,1031,360850176001031,Block 1031,G5040,,,S,      16236,          0,+40.5249335,-074.1861939,                  -74.1861939000,                   40.5249335000
36,085,017005,2015,360850170052015,Block 2015,G5040,,,S,      31879,          0,+40.5404344,-074.1703188,                  -74.1703188000,                   40.5404344000
36,085,015602,1002,360850156021002,Block 1002,G5040,,,S,      11687,          0,+40.5418856,-074.1634398,                  -74.1634398000,                   40.5418856000
36,085,015602,4002,360850156024002,Block 4002,G5040,,,S,      23496,          0,+40.5361101,-074.1657222,                  -74.1657222000,                   40.5361101000
36,085,015602,4003,360850156024003,Block 4003,G5040,,,S,      21412,          0,+40.5365058,-074.1649026,                  -74.1649026000,                   40.5365058000
36,085,017012,1018,360850170121018,Block 1018,G5040,,,S,       2263,          0,+40.5579052,-074.1717040,                  -74.1717040000,                   40.5579052000
36,085,017005,1033,360850170051033,Block 1033,G5040,,,S,     126726,        176,+40.5348604,-074.1890303,                  -74.1890303000,                   40.5348604000
36,085,017600,2004,360850176002004,Block 2004,G5040,,,S,      10901,          0,+40.5328968,-074.1649269,                  -74.1649269000,                   40.5328968000
36,085,015602,4009,360850156024009,Block 4009,G5040,,,S,      18480,          0,+40.5313448,-074.1611866,                  -74.1611866000,                   40.5313448000
36,085,017600,4011,360850176004011,Block 4011,G5040,,,S,       9280,          0,+40.5292381,-074.1680368,                  -74.1680368000,                   40.5292381000
36,085,015602,1011,360850156021011,Block 1011,G5040,,,S,      17650,          0,+40.5363830,-074.1606993,                  -74.1606993000,                   40.5363830000
36,085,015602,2004,360850156022004,Block 2004,G5040,,,S,       9464,          0,+40.5341420,-074.1605661,                  -74.1605661000,                   40.5341420000
36,085,017007,2009,360850170072009,Block 2009,G5040,,,S,      22481,          0,+40.5618553,-074.1843380,                  -74.1843380000,                   40.5618553000
36,085,017008,3023,360850170083023,Block 3023,G5040,,,S,      18816,          0,+40.5487989,-074.1823983,                  -74.1823983000,                   40.5487989000
36,085,020803,1005,360850208031005,Block 1005,G5040,,,S,       8845,          0,+40.5382423,-074.2163290,                  -74.2163290000,                   40.5382423000
36,085,022600,4010,360850226004010,Block 4010,G5040,,,S,      10840,          0,+40.5242852,-074.2178811,                  -74.2178811000,                   40.5242852000
36,085,024800,3025,360850248003025,Block 3025,G5040,,,S,      29170,          0,+40.5153063,-074.2360416,                  -74.2360416000,                   40.5153063000
36,085,024401,3018,360850244013018,Block 3018,G5040,,,S,      11071,          0,+40.5067501,-074.2341308,                  -74.2341308000,                   40.5067501000
36,085,020801,2017,360850208012017,Block 2017,G5040,,,S,       1575,          0,+40.5466829,-074.2196984,                  -74.2196984000,                   40.5466829000
36,085,022600,1013,360850226001013,Block 1013,G5040,,,S,      10114,          0,+40.5287443,-074.2407492,                  -74.2407492000,                   40.5287443000
36,085,020803,3014,360850208033014,Block 3014,G5040,,,S,      91039,          0,+40.5270139,-074.2114530,                  -74.2114530000,                   40.5270139000
36,085,020801,2013,360850208012013,Block 2013,G5040,,,S,      16887,          0,+40.5466454,-074.2171035,                  -74.2171035000,                   40.5466454000
36,085,020801,2016,360850208012016,Block 2016,G5040,,,S,       3050,          0,+40.5469287,-074.2195518,                  -74.2195518000,                   40.5469287000
36,085,020801,2006,360850208012006,Block 2006,G5040,,,S,       5438,          0,+40.5483706,-074.2110617,                  -74.2110617000,                   40.5483706000
36,085,017007,2000,360850170072000,Block 2000,G5040,,,S,      12625,          0,+40.5650931,-074.1824473,                  -74.1824473000,                   40.5650931000
36,085,019800,2033,360850198002033,Block 2033,G5040,,,S,      13710,          0,+40.5135721,-074.2021256,                  -74.2021256000,                   40.5135721000
36,085,024800,2009,360850248002009,Block 2009,G5040,,,S,       6179,          0,+40.5144125,-074.2466768,                  -74.2466768000,                   40.5144125000
36,085,022600,3001,360850226003001,Block 3001,G5040,,,S,      11753,          0,+40.5370515,-074.2223307,                  -74.2223307000,                   40.5370515000
36,085,020801,4015,360850208014015,Block 4015,G5040,,,S,      16345,          0,+40.5493845,-074.2098310,                  -74.2098310000,                   40.5493845000
36,085,022600,2020,360850226002020,Block 2020,G5040,,,S,         54,          0,+40.5374666,-074.2211531,                  -74.2211531000,                   40.5374666000
36,085,020801,4010,360850208014010,Block 4010,G5040,,,S,      16648,          0,+40.5486557,-074.2095278,                  -74.2095278000,                   40.5486557000
36,085,019800,3010,360850198003010,Block 3010,G5040,,,S,      15423,          0,+40.5237287,-074.2027489,                  -74.2027489000,                   40.5237287000
36,085,019800,4018,360850198004018,Block 4018,G5040,,,S,      11864,          0,+40.5186422,-074.1952341,                  -74.1952341000,                   40.5186422000
